id;opath;error;offset;spdist;pgeom;cpath;tpath;mgeom;ep;tp;length;duration;speed
49;1541;0.000363829;0.00455029;;LINESTRING(-76.4520540347 38.3560927268);1541;;LINESTRING(-76.4520540347 38.3560927268,-76.4520540347 38.3560927268);0.999999999998;0;0.00744511676731;;
50;1541;0.00035721;0.00454649;;LINESTRING(-76.452052148 38.3560960183);1541;;LINESTRING(-76.452052148 38.3560960183,-76.452052148 38.3560960183);0.999999999998;0;0.00744511676731;;
51;1541;0.000355313;0.0045498;;LINESTRING(-76.4520537938 38.356093147);1541;;LINESTRING(-76.4520537938 38.356093147,-76.4520537938 38.356093147);0.999999999998;0;0.00744511676731;;
52;1541;0.000348694;0.00454601;;LINESTRING(-76.4520519072 38.3560964385);1541;;LINESTRING(-76.4520519072 38.3560964385,-76.4520519072 38.3560964385);0.999999999998;0;0.00744511676731;;
53;1541;0.000348694;0.00454601;;LINESTRING(-76.4520519072 38.3560964385);1541;;LINESTRING(-76.4520519072 38.3560964385,-76.4520519072 38.3560964385);0.999999999998;0;0.00744511676731;;
54;1541;0.000342075;0.00454221;;LINESTRING(-76.4520500205 38.3560997301);1541;;LINESTRING(-76.4520500205 38.3560997301,-76.4520500205 38.3560997301);0.999999999999;0;0.00744511676731;;
55;1541;0.000340178;0.00454552;;LINESTRING(-76.4520516663 38.3560968587);1541;;LINESTRING(-76.4520516663 38.3560968587,-76.4520516663 38.3560968587);0.999999999999;0;0.00744511676731;;
56;1541;0.000333559;0.00454173;;LINESTRING(-76.4520497797 38.3561001503);1541;;LINESTRING(-76.4520497797 38.3561001503,-76.4520497797 38.3561001503);0.999999999999;0;0.00744511676731;;
57;1541;0.000325043;0.00454125;;LINESTRING(-76.4520495388 38.3561005705);1541;;LINESTRING(-76.4520495388 38.3561005705,-76.4520495388 38.3561005705);0.999999999999;0;0.00744511676731;;
58;1541;0.000318423;0.00453745;;LINESTRING(-76.4520476522 38.3561038621);1541;;LINESTRING(-76.4520476522 38.3561038621,-76.4520476522 38.3561038621);0.999999999999;0;0.00744511676731;;
59;1541;0.000316526;0.00454076;;LINESTRING(-76.452049298 38.3561009907);1541;;LINESTRING(-76.452049298 38.3561009907,-76.452049298 38.3561009907);0.999999999999;0;0.00744511676731;;
60;1541;0.000309907;0.00453697;;LINESTRING(-76.4520474114 38.3561042823);1541;;LINESTRING(-76.4520474114 38.3561042823,-76.4520474114 38.3561042823);0.999999999999;0;0.00744511676731;;
61;1541;0.000301391;0.00453648;;LINESTRING(-76.4520471705 38.3561047025);1541;;LINESTRING(-76.4520471705 38.3561047025,-76.4520471705 38.3561047025);0.999999999999;0;0.00744511676731;;
62;1541;0.000286283;0.00453614;;LINESTRING(-76.452047 38.356105);1541;;LINESTRING(-76.452047 38.356105);0.999999999999;0;0.00744511676731;;
63;1541;0.000277775;0.00453614;;LINESTRING(-76.452047 38.356105);1541;;LINESTRING(-76.452047 38.356105);0.999999999999;0;0.00744511676731;;
64;1541;0.000269268;0.00453614;;LINESTRING(-76.452047 38.356105);1541;;LINESTRING(-76.452047 38.356105);0.999999999999;0;0.00744511676731;;
65;1541;0.000260763;0.00453614;;LINESTRING(-76.452047 38.356105);1541;;LINESTRING(-76.452047 38.356105);0.999999999999;0;0.00744511676731;;
66;1541;0.000252259;0.00453614;;LINESTRING(-76.452047 38.356105);1541;;LINESTRING(-76.452047 38.356105);0.999999999999;0;0.00744511676731;;
67;1541;0.000245752;0.00453387;;LINESTRING(-76.4520458104 38.3561069379);1541;;LINESTRING(-76.4520458104 38.3561069379,-76.4520458104 38.3561069379);0.999999999999;0;0.00744511676731;;
68;1541;0.000230752;0.00452914;;LINESTRING(-76.452043335 38.3561109704);1541;;LINESTRING(-76.452043335 38.3561109704,-76.452043335 38.3561109704);0.999999999999;0;0.00744511676731;;
69;1541;0.000222254;0.00452839;;LINESTRING(-76.4520429477 38.3561116013);1541;;LINESTRING(-76.4520429477 38.3561116013,-76.4520429477 38.3561116013);0.999999999999;0;0.00744511676731;;
70;1541;0.000213756;0.00452765;;LINESTRING(-76.4520425604 38.3561122323);1541;;LINESTRING(-76.4520425604 38.3561122323,-76.4520425604 38.3561122323);0.999999999999;0;0.00744511676731;;
71;1541;0.000203263;0.00453017;;LINESTRING(-76.4520438739 38.3561100926);1541;;LINESTRING(-76.4520438739 38.3561100926,-76.4520438739 38.3561100926);0.999999999999;0;0.00744511676731;;
72;1541;0.000188263;0.00452543;;LINESTRING(-76.4520413985 38.3561141251);1541;;LINESTRING(-76.4520413985 38.3561141251,-76.4520413985 38.3561141251);1;0;0.00744511676731;;
73;1541;0.000179765;0.00452469;;LINESTRING(-76.4520410111 38.356114756);1541;;LINESTRING(-76.4520410111 38.356114756,-76.4520410111 38.356114756);1;0;0.00744511676731;;
74;1541;0.000164766;0.00451996;;LINESTRING(-76.4520385357 38.3561187886);1541;;LINESTRING(-76.4520385357 38.3561187886,-76.4520385357 38.3561187886);1;0;0.00744511676731;;
75;1541;0.000156268;0.00451922;;LINESTRING(-76.4520381484 38.3561194195);1541;;LINESTRING(-76.4520381484 38.3561194195,-76.4520381484 38.3561194195);1;0;0.00744511676731;;
76;1541;0.000145774;0.00452173;;LINESTRING(-76.4520394619 38.3561172798);1541;;LINESTRING(-76.4520394619 38.3561172798,-76.4520394619 38.3561172798);1;0;0.00744511676731;;
77;1541;0.000130775;0.004517;;LINESTRING(-76.4520369865 38.3561213123);1541;;LINESTRING(-76.4520369865 38.3561213123,-76.4520369865 38.3561213123);1;0;0.00744511676731;;
78;1541;0.000122277;0.00451626;;LINESTRING(-76.4520365992 38.3561219433);1541;;LINESTRING(-76.4520365992 38.3561219433,-76.4520365992 38.3561219433);1;0;0.00744511676731;;
79;1541;0.000107277;0.00451153;;LINESTRING(-76.4520341238 38.3561259758);1541;;LINESTRING(-76.4520341238 38.3561259758,-76.4520341238 38.3561259758);1;0;0.00744511676731;;
80;1541;9.87794e-05;0.00451079;;LINESTRING(-76.4520337365 38.3561266067);1541;;LINESTRING(-76.4520337365 38.3561266067,-76.4520337365 38.3561266067);1;0;0.00744511676731;;
81;1541;8.17839e-05;0.00450931;;LINESTRING(-76.4520329619 38.3561278686);1541;;LINESTRING(-76.4520329619 38.3561278686,-76.4520329619 38.3561278686);1;0;0.00744511676731;;
82;1541;7.32862e-05;0.00450857;;LINESTRING(-76.4520325745 38.3561284995);1541;;LINESTRING(-76.4520325745 38.3561284995,-76.4520325745 38.3561284995);1;0;0.00744511676731;;
83;1541;5.82864e-05;0.00450384;;LINESTRING(-76.4520300991 38.3561325321);1541;;LINESTRING(-76.4520300991 38.3561325321,-76.4520300991 38.3561325321);1;0;0.00744511676731;;
84;1541;4.7793e-05;0.00450635;;LINESTRING(-76.4520314126 38.3561303924);1541;;LINESTRING(-76.4520314126 38.3561303924,-76.4520314126 38.3561303924);1;0;0.00744511676731;;
85;1541;3.27932e-05;0.00450161;;LINESTRING(-76.4520289372 38.3561344249);1541;;LINESTRING(-76.4520289372 38.3561344249,-76.4520289372 38.3561344249);1;0;0.00744511676731;;
86;1541;2.42954e-05;0.00450087;;LINESTRING(-76.4520285499 38.3561350558);1541;;LINESTRING(-76.4520285499 38.3561350558,-76.4520285499 38.3561350558);1;0;0.00744511676731;;
87;1541;9.29565e-06;0.00449614;;LINESTRING(-76.4520260745 38.3561390883);1541;;LINESTRING(-76.4520260745 38.3561390883,-76.4520260745 38.3561390883);1;0;0.00744511676731;;
